Group_Number,Group_Index,PathName_Nuclei,PathName_pAKT,FileName_Nuclei,FileName_pAKT,Metadata_Barcode,Metadata_Column,Metadata_CreationDate,Metadata_CreationTime,Metadata_FieldIndex,Metadata_ImagingComputer,Metadata_PlateSize,Metadata_RowNumber
1,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 1(fld 1 wv DAPI - DAPI).tif,A - 1(fld 1 wv FITC - FITC).tif,VB00021880,1,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
2,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 10(fld 1 wv DAPI - DAPI).tif,A - 10(fld 1 wv FITC - FITC).tif,VB00021880,10,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
3,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 11(fld 1 wv DAPI - DAPI).tif,A - 11(fld 1 wv FITC - FITC).tif,VB00021880,11,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
4,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 12(fld 1 wv DAPI - DAPI).tif,A - 12(fld 1 wv FITC - FITC).tif,VB00021880,12,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
5,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 13(fld 1 wv DAPI - DAPI).tif,A - 13(fld 1 wv FITC - FITC).tif,VB00021880,13,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
6,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 14(fld 1 wv DAPI - DAPI).tif,A - 14(fld 1 wv FITC - FITC).tif,VB00021880,14,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
7,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 15(fld 1 wv DAPI - DAPI).tif,A - 15(fld 1 wv FITC - FITC).tif,VB00021880,15,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
8,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 16(fld 1 wv DAPI - DAPI).tif,A - 16(fld 1 wv FITC - FITC).tif,VB00021880,16,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
9,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 17(fld 1 wv DAPI - DAPI).tif,A - 17(fld 1 wv FITC - FITC).tif,VB00021880,17,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
10,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 18(fld 1 wv DAPI - DAPI).tif,A - 18(fld 1 wv FITC - FITC).tif,VB00021880,18,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
11,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 19(fld 1 wv DAPI - DAPI).tif,A - 19(fld 1 wv FITC - FITC).tif,VB00021880,19,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
12,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 2(fld 1 wv DAPI - DAPI).tif,A - 2(fld 1 wv FITC - FITC).tif,VB00021880,2,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
13,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 20(fld 1 wv DAPI - DAPI).tif,A - 20(fld 1 wv FITC - FITC).tif,VB00021880,20,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
14,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 21(fld 1 wv DAPI - DAPI).tif,A - 21(fld 1 wv FITC - FITC).tif,VB00021880,21,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
15,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 22(fld 1 wv DAPI - DAPI).tif,A - 22(fld 1 wv FITC - FITC).tif,VB00021880,22,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
