Group_Number,Group_Index,PathName_DAPI_ORIG,PathName_FITC_ORIG,FileName_DAPI_ORIG,FileName_FITC_ORIG,Metadata_Barcode,Metadata_Column,Metadata_CreationDate,Metadata_CreationTime,Metadata_FieldIndex,Metadata_ImagingComputer,Metadata_PlateSize,Metadata_RowNumber
1,1,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 1(fld 1 wv DAPI - DAPI).tif,A - 1(fld 1 wv FITC - FITC).tif,HB00001130,1,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,2,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 2(fld 1 wv DAPI - DAPI).tif,A - 2(fld 1 wv FITC - FITC).tif,HB00001130,2,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,3,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 3(fld 1 wv DAPI - DAPI).tif,A - 3(fld 1 wv FITC - FITC).tif,HB00001130,3,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,4,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 4(fld 1 wv DAPI - DAPI).tif,A - 4(fld 1 wv FITC - FITC).tif,HB00001130,4,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,5,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 5(fld 1 wv DAPI - DAPI).tif,A - 5(fld 1 wv FITC - FITC).tif,HB00001130,5,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,6,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 6(fld 1 wv DAPI - DAPI).tif,A - 6(fld 1 wv FITC - FITC).tif,HB00001130,6,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,7,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 7(fld 1 wv DAPI - DAPI).tif,A - 7(fld 1 wv FITC - FITC).tif,HB00001130,7,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,8,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 8(fld 1 wv DAPI - DAPI).tif,A - 8(fld 1 wv FITC - FITC).tif,HB00001130,8,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,9,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 9(fld 1 wv DAPI - DAPI).tif,A - 9(fld 1 wv FITC - FITC).tif,HB00001130,9,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,10,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 10(fld 1 wv DAPI - DAPI).tif,A - 10(fld 1 wv FITC - FITC).tif,HB00001130,10,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,11,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 11(fld 1 wv DAPI - DAPI).tif,A - 11(fld 1 wv FITC - FITC).tif,HB00001130,11,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,12,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 12(fld 1 wv DAPI - DAPI).tif,A - 12(fld 1 wv FITC - FITC).tif,HB00001130,12,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,13,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 13(fld 1 wv DAPI - DAPI).tif,A - 13(fld 1 wv FITC - FITC).tif,HB00001130,13,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,14,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 14(fld 1 wv DAPI - DAPI).tif,A - 14(fld 1 wv FITC - FITC).tif,HB00001130,14,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,15,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 15(fld 1 wv DAPI - DAPI).tif,A - 15(fld 1 wv FITC - FITC).tif,HB00001130,15,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,16,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 16(fld 1 wv DAPI - DAPI).tif,A - 16(fld 1 wv FITC - FITC).tif,HB00001130,16,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,17,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 17(fld 1 wv DAPI - DAPI).tif,A - 17(fld 1 wv FITC - FITC).tif,HB00001130,17,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,18,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 18(fld 1 wv DAPI - DAPI).tif,A - 18(fld 1 wv FITC - FITC).tif,HB00001130,18,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,19,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 19(fld 1 wv DAPI - DAPI).tif,A - 19(fld 1 wv FITC - FITC).tif,HB00001130,19,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,20,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 20(fld 1 wv DAPI - DAPI).tif,A - 20(fld 1 wv FITC - FITC).tif,HB00001130,20,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,21,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 21(fld 1 wv DAPI - DAPI).tif,A - 21(fld 1 wv FITC - FITC).tif,HB00001130,21,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
1,22,\\our.lab.share\incell\vb00021880_1,\\our.lab.share\incell\vb00021880_1,A - 22(fld 1 wv DAPI - DAPI).tif,A - 22(fld 1 wv FITC - FITC).tif,HB00001130,22,3/14/2013,17:43:52,0,NRCHBS-WDL30088,384,1
